Source.Name,Timestamp,Vehicle,Protocol,Short Term Fuel Trim Bank 1 (STFT),Long Term Fuel Trim Bank 1 (LTFT),Calculated Engine Load,Engine RPM,Vehicle Speed,Throttle Position (TPS),Intake Manifold Pressure (MAP)
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:29.106,Honda Brio 2015,ATSP0,-7.03,14.06,29.0,1053.0,14.0,16.0,31.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:30.561,Honda Brio 2015,ATSP0,-8.59,14.06,24.0,1259.0,8.0,16.0,28.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:32.021,Honda Brio 2015,ATSP0,-6.25,14.06,21.0,1266.0,2.0,18.0,37.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:33.467,Honda Brio 2015,ATSP0,-10.94,13.28,32.0,1072.0,1.0,17.0,37.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:34.935,Honda Brio 2015,ATSP0,-3.91,14.06,32.0,941.0,2.0,16.0,37.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:36.450,Honda Brio 2015,ATSP0,-4.69,14.06,33.0,880.0,2.0,19.0,64.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:37.918,Honda Brio 2015,ATSP0,-4.69,13.28,87.0,548.0,2.0,20.0,59.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:39.419,Honda Brio 2015,ATSP0,-4.69,13.28,65.0,1071.0,4.0,17.0,36.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:40.849,Honda Brio 2015,ATSP0,-2.34,13.28,27.0,1100.0,2.0,20.0,87.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:42.304,Honda Brio 2015,ATSP0,-3.13,13.28,83.0,536.0,8.0,19.0,92.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:43.831,Honda Brio 2015,ATSP0,-7.03,11.72,98.0,839.0,12.0,59.0,100.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:45.356,Honda Brio 2015,ATSP0,0.0,11.72,98.0,1365.0,19.0,79.0,100.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:46.935,Honda Brio 2015,ATSP0,0.0,12.5,21.0,1530.0,23.0,22.0,60.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:48.535,Honda Brio 2015,ATSP0,0.0,12.5,47.0,1104.0,22.0,26.0,98.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:50.054,Honda Brio 2015,ATSP0,-3.91,11.72,98.0,1245.0,27.0,79.0,100.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:51.620,Honda Brio 2015,ATSP0,-0.78,11.72,98.0,1524.0,32.0,79.0,100.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:53.097,Honda Brio 2015,ATSP0,2.34,10.94,99.0,1772.0,37.0,79.0,100.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:54.625,Honda Brio 2015,ATSP0,1.56,10.94,96.0,2014.0,42.0,18.0,40.0
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:56.111,Honda Brio 2015,ATSP0,1.56,11.72,38.0,2106.0,44.0,32.0,99.0
